ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
479     ..3      H-23019-8         general switch 2 pin cbl                          1
480     ...4     03-7520-2         tie wrap-nylon 3 7/8                              2
481     ...4     5791-13776-02     conn-plug minifit jr free hang                    1
482     ...4     5820-13730-02     pin-mini fit jr 18-22awg                          2
483     ...4     CW-30022-5        wire 22awg green                                  8
484     ...4     CW-30022-9        wire 22awg white                                  8
485     ..3      03-9454           "cable tie 4"" long"                              1
486     .2       A-23009           bumper target assy                                1
487     ..3      02-5475           post bumper target                                2
488     ..3      04-12626          bottom plate-bumper tgt                           1
489     ..3      01-15159          top plate-bumper target                           1
490     ..3      4408-01119-01     nut 8-32 esna/ntm                                 3
491     ..3      03-8247-30        post #8 dbl/star trp-lite blue                    3
492     ..3      23-6694-11        "black rubber ring 3"""                           2
493     .2       A-23033-1         flipper return assy-right                         1
494     ..3      03-10002.2        flipper return                                    1
495     ..3      31-3541-6B        playfield plastic                                 1
496     ..3      03-9255-3         spacer #8 x .541                                  4
497     ..3      02-4425-3         "post fast 8-32/8-32x5/8top 2""l"                 2
498     .2       A-23033-2         flipper return assy-left                          1
499     ..3      03-10002.2        flipper return                                    1
500     ..3      31-3541-5         playfield plastic-50069                           1
501     ..3      03-9255-3         spacer #8 x .541                                  4
502     ..3      02-4425-3         "post fast 8-32/8-32x5/8top 2""l"                 2
503     .2       A-23031           short opto assy                                   2
504     ..3      01-15177          brkt-short opto                                   2
505     ..3      A-16908           opto led assy                                     2
506     ...4     03-8506-1         base-opto mtg-white                               2
507     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 2
508     ...4     A-14231           led assy                                          2
509     ....5    5671-12731-00     led diode infra red                               0
510     ....5    5768-13155-02     pcb-single IR LED (green mask)                    0
511     ..3      A-16909           opto p/t assy                                     2
512     ...4     03-8506           base-opto mtg-black                               2
513     ...4     4104-01001-06     sms #4X3/8 p-ph-a                                 2
